,unique_id,cuisine,district
29,node/3460317044,,"4th District, Budapest, Hungary"
30,node/3460332641,burger,"4th District, Budapest, Hungary"
31,node/3627844870,chinese,"4th District, Budapest, Hungary"
32,node/4227967002,langos,"4th District, Budapest, Hungary"
33,node/4946072621,mexican,"4th District, Budapest, Hungary"
34,node/5205088621,,"4th District, Budapest, Hungary"
35,node/5212541322,,"4th District, Budapest, Hungary"
36,node/5928807785,,"4th District, Budapest, Hungary"
37,node/6513609611,regional,"4th District, Budapest, Hungary"
38,node/6905153685,hungarian,"4th District, Budapest, Hungary"
39,node/7089156651,chinese,"4th District, Budapest, Hungary"
40,node/7089156653,turkish,"4th District, Budapest, Hungary"
41,node/7235635049,pizza,"4th District, Budapest, Hungary"
42,node/7470849647,sandwich;coffee_shop;international,"4th District, Budapest, Hungary"
43,node/7647436793,,"4th District, Budapest, Hungary"
44,way/141298218,pizza,"4th District, Budapest, Hungary"
45,way/141724157,,"4th District, Budapest, Hungary"
46,way/141724303,,"4th District, Budapest, Hungary"
47,way/267066144,italian,"4th District, Budapest, Hungary"
48,way/267607086,regional,"4th District, Budapest, Hungary"
49,way/326297862,,"4th District, Budapest, Hungary"
50,way/326297864,burger;kebab,"4th District, Budapest, Hungary"
51,way/326466672,burger,"4th District, Budapest, Hungary"
52,way/609975703,,"4th District, Budapest, Hungary"
0,node/260886170,italian,"5th District, Budapest, Hungary"
